# list of object assets to load in this scene
[ASSETS]
mario.txt
brick.txt
cloud.txt
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
# See OBJECT_TYPE constants in AssetIDs.h

# MARIO
0	20	360

# BRICKS
1	256	336
1	272	336
1	288	336
1	304	336

1	400	320
1	416	320
1	432	320
1	448	320
1	464	320

1	608	272
1	624	272
1	640	272
1	656	272

1	640	352
1	656	352

1	752	304
1	752	336
1	752	352
1	768	352
1	784	352
1	800	352

1	864	320
1	864	336
1	864	352
1	864	368
1	880	368
1	896	368

1	944	320
1	944	336
1	960	336

1	960	384
1	976	384
1	992	384
1	1008	384

1	1008	336
1	1024	336
1	1040	336
1	1056	336
1	1072	336

1	1152	368
1	1168	368
1	1184	368
1	1200	368
1	1216	368

1	1184	288
1	1200	288
1	1216	288
1	1232	288
1	1232	272

1	1264	352
1	1280	352

1	1392	288
1	1408	288
1	1424	288

1	1536	288
1	1536	272

1	1536	352
1	1536	368
1	1536	384
1	1552	384
1	1568	384
1	1584	384

1	1728	272
1	1728	288
1	1728	304

1	1776	352
1	1792	352
1	1808	352

5	0	400	16	16	175	1	1000000	1000002	1000003	1000005	1000001	1000004	1000000	1000000	1000000	2
